x,y,z
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-3.020375408,-20.97454021,3.844876672
-2.272499646,-15.80351428,3.40464412
-2.273152984,-15.80203101,3.404398264
-2.273802938,-15.80055374,3.404185135
-2.274345929,-15.79919639,3.40401257
-2.27482694,-15.79854141,3.403936205
-2.275207928,-15.79735987,3.404000759
-2.275898188,-15.79616641,3.404483131
-2.276177643,-15.795244,3.404209419
-2.276585759,-15.79468346,3.404499962
-2.276793415,-15.79383856,3.404750157
-2.27691804,-15.79330277,3.404950176
-2.277118941,-15.79284367,3.405226382
-2.277134831,-15.79263816,3.405349314
-2.276990635,-15.79229233,3.405701317
-2.277088371,-15.79153658,3.40573124
-2.276933729,-15.79113182,3.405760438
-2.276915844,-15.79116448,3.40580537
-2.276947801,-15.7909878,3.405751896
-2.277129025,-15.79138492,3.405892644
-2.277009742,-15.79162756,3.405681791
-2.276987657,-15.79214152,3.406039211
-2.276991517,-15.79326332,3.406363437
-2.276847738,-15.79366974,3.406225824
-3.026833172,-20.94987915,3.846826528
-3.026412662,-20.9497399,3.846520363
-3.026026865,-20.95358052,3.846797581
-3.025818491,-20.95690966,3.846511313
-2.275209727,-15.79904136,3.405533596
-2.273574765,-15.80182382,3.405238457
-2.272183361,-15.80669965,3.405463679
-2.270773983,-15.80807818,3.405329704
-2.269561972,-15.81112386,3.40487823
-2.268365378,-15.81421516,3.4046526
-2.267320296,-15.81790529,3.404235211
-2.266396706,-15.82091882,3.403838873
-2.26562557,-15.82324604,3.403422326
-2.265032291,-15.82539293,3.402995642
-3.009858656,-21.02561809,3.842923799
-3.009165444,-21.03041243,3.842204336
-2.263955832,-15.83195048,3.401176324
-2.263858419,-15.8334462,3.40044521
-2.263691242,-15.83454794,3.399653484
-2.263564816,-15.83669352,3.398870699
-2.263362775,-15.83818156,3.397765208
-2.263652477,-15.8391037,3.396794987
-2.264011574,-15.83949141,3.395723493
-2.264263475,-15.84051657,3.394668285
-2.264711956,-15.84048359,3.393269755
-2.265419501,-15.84085106,3.391935224
-2.266154311,-15.84024553,3.390649571
-2.266960831,-15.83987733,3.389233395
-2.267696927,-15.839098,3.387642111
-2.268828896,-15.83858677,3.386155515
-2.431804295,-15.17758356,2.926862137
-2.270953831,-15.83757361,3.383061602
-2.272344352,-15.83676352,3.381359437
-2.273842379,-15.83507509,3.37951123
-2.275376074,-15.83374741,3.377792553
-2.277014353,-15.83211156,3.375914535
-2.278828614,-15.83043563,3.373916508
-2.280787045,-15.82841484,3.371891348
-2.293250871,-15.80360088,3.366758559
-2.317937682,-15.75380442,3.357905802
-2.354660797,-15.67950481,3.345432767
-2.403288201,-15.58128331,3.329440079
-2.463430894,-15.46165761,3.309986943
-2.534995793,-15.32315868,3.287179672
-2.616930098,-15.16875533,3.261224686
-2.709183743,-15.00086973,3.232531972
-2.811077034,-14.82241804,3.200711658
-2.922212172,-14.63972572,3.166606526
-3.042523872,-14.45312145,3.130081283
-3.171476783,-14.26820754,3.091247065
-3.309025762,-14.08814801,3.050492379
-3.455050756,-13.91830358,3.008169002
-3.609603832,-13.76162738,2.964009406
-3.772997873,-13.6232076,2.918489572
-3.945850809,-13.50685017,2.871802322
-3.817732362,-13.68517069,2.86295473
-3.68818768,-13.8701314,2.859029526
-3.662576842,-13.68318646,2.835888625
-3.487295272,-14.09319834,2.827560115
-3.313627677,-14.50685194,2.820281674
-3.135211071,-14.94019423,2.813232238
-2.95531886,-15.39596146,2.802694019
-2.777527943,-15.85654654,2.793723917
-2.597732886,-16.32227221,2.788196104
-2.739737046,-15.95592327,2.802716581
-2.942740732,-15.40895472,2.823455552
-3.143857437,-14.87303015,2.845624222
-3.339516612,-14.36504572,2.866159131
-3.535035614,-13.87658429,2.885078234
-3.725548073,-13.41338733,2.903281372
-3.540971191,-14.81149105,2.884211981
-3.875377442,-13.43232349,2.948438513
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
