x,y,z
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-16.206864,-0.455354145,1.537231281
-14.85304958,-0.997779201,1.80126385
-14.10835127,-0.961639737,1.773816783
-13.39343683,-0.910689477,1.741553652
-12.67852239,-0.859739217,1.70929052
-11.96360796,-0.808788958,1.677027389
-11.24869352,-0.757838698,1.644764258
-10.53377908,-0.706888438,1.612501127
-9.838544656,-0.663490912,1.576550817
-9.129846454,-0.620886319,1.526749766
-8.421148252,-0.578281726,1.476948715
-7.715011129,-0.519482706,1.41265653
-7.017471139,-0.484560036,1.351033948
-6.334047713,-0.428942939,1.288057964
-5.634265037,-0.400819161,1.214054359
-4.949847266,-0.340170741,1.14584484
-4.26707187,-0.301457559,1.074796695
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
