x,y,z
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-14.52029745,-10.68204398,2.508645094
-14.66399963,-10.81186956,2.509119951
-14.80785722,-10.94585228,2.509715071
-14.95142317,-11.0848881,2.510441464
-15.09465154,-11.22655124,2.511710394
-15.23720377,-11.37234705,2.513239149
-15.37891642,-11.51980262,2.515137367
-15.51977631,-11.67020099,2.51715827
-15.65974636,-11.82224885,2.519330496
-15.79835522,-11.97683088,2.521642865
-15.93547126,-12.13306146,2.524228562
-16.07089491,-12.29051139,2.526920197
-16.20462037,-12.44612203,2.530015853
-16.33627168,-12.60579847,2.532830742
-16.46588475,-12.76449663,2.535810506
-16.59318638,-12.92357827,2.538762943
-16.71809513,-13.0815135,2.541628536
-16.84043247,-13.24053419,2.544829744
-16.96005367,-13.39808019,2.547848503
-17.07685535,-13.55386287,2.550929033
-17.19064855,-13.7086977,2.553972994
-17.30130834,-13.8607886,2.556737846
-17.40873414,-14.01024667,2.559653801
-17.51276251,-14.1585015,2.562618743
-17.61331445,-14.30187898,2.565588753
-17.71014644,-14.44327608,2.568152711
-17.80326268,-14.580015,2.570922534
-17.89250169,-14.7133713,2.573644091
-17.97770651,-14.84199622,2.576195314
-18.05878919,-14.96584302,2.578625468
-18.13563864,-15.08404743,2.58083227
-18.20817546,-15.19687212,2.583092071
-18.27624901,-15.30441978,2.585294406
-18.33979114,-15.40454215,2.587350952
-18.39862928,-15.50017637,2.589526191
-18.45286152,-15.58768642,2.591293571
-18.50233511,-15.66561961,2.593455735
-18.54693299,-15.73885851,2.594889283
-18.58664456,-15.80341897,2.596609625
-18.62138696,-15.86097173,2.598296792
-18.65103865,-15.91102672,2.59955992
-18.6756816,-15.94908964,2.600884658
-18.69522209,-15.98274864,2.602136668
-18.70945225,-16.00745997,2.602815729
-18.71866916,-16.02316129,2.603574887
-18.72266095,-16.02964408,2.604118292
-18.72147472,-16.0267118,2.604298956
-18.71504414,-16.01554725,2.604677875
-18.7035507,-15.99741592,2.605268049
-18.68673185,-15.97065078,2.604857176
-18.66489669,-15.93353114,2.604693648
-18.63805249,-15.88899899,2.604586308
-18.60599173,-15.83606547,2.604460879
-18.56894793,-15.77289343,2.60424315
-18.52695413,-15.70424688,2.603652977
-18.48003226,-15.62780604,2.603069119
-18.42821359,-15.5443651,2.602336957
-18.37173394,-15.45348864,2.601374165
-18.31062678,-15.3561148,2.600404785
-18.24499346,-15.25251205,2.599281744
-18.17584354,-15.14254653,2.597989374
-18.1034407,-15.02145568,2.596551242
-18.097025,-8.064205917,2.65606244
-18.03010837,-8.007586749,2.654474961
-17.86900664,-14.61537567,2.593096263
-17.88990347,-7.881075935,2.650861181
-17.70008214,-14.31946484,2.590571391
-17.61247129,-14.16691312,2.589379722
-17.52304339,-14.01215041,2.588217077
-17.4320093,-13.85637815,2.587094226
-17.33961915,-13.70042666,2.586100061
-17.24606796,-13.54652468,2.585246763
-17.15163289,-13.39194791,2.58466069
-17.05638682,-13.24327864,2.583770454
-16.96071449,-13.0980788,2.583336279
-16.8647176,-12.95940219,2.583066885
-16.76863462,-12.82686464,2.582933398
-16.67268669,-12.70171676,2.583094027
-16.5770094,-12.58601741,2.583507676
-16.48177958,-12.48134618,2.58435871
-16.38721706,-12.3869035,2.585329699
-16.29341665,-12.30595554,2.586713138
-16.20060254,-12.23817212,2.588535126
-16.06992356,-12.13002657,2.593553753
-15.89382303,-11.95751932,2.602264611
-15.67040154,-11.72408233,2.614616638
-15.39811552,-11.43297772,2.631014244
-15.17354658,-11.2166629,2.629499327
-14.95181498,-11.00499409,2.627383717
-15.1146893,-6.066550471,2.684633121
-14.88980911,-5.984645231,2.679379791
-14.67294659,-5.902618942,2.675712288
-14.47089841,-5.833998671,2.674140104
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
