x,y,z
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-15.34924425011252,-0.9174648769914908,1.6974517301334375
-15.10072564287115,-0.9377676494768856,1.7062937242182958
-14.862336642706753,-0.9096718347192243,1.7105975951660546
-14.619709157451164,-0.8846794885570803,1.6876675041892955
-14.38228154679381,-0.8742326187971985,1.6901655211421014
-14.144853936136457,-0.8637857490373166,1.6926635380949073
-13.864244814443746,-0.8614136568656834,1.7056243668820774
-13.640575241441226,-0.8292129660689329,1.6862637321174807
-13.381032558952501,-0.810849029421266,1.6821608347272816
-13.139182578901126,-0.7958293088954946,1.6724126081420552
-12.898059750063208,-0.7759790911030711,1.6690876846848584
-12.656936921225292,-0.7561288733106474,1.6657627612276613
-12.416113610222737,-0.7432474993650047,1.6609505802947537
-12.175290299220183,-0.7303661254193621,1.6561383993618464
-11.93446698821763,-0.7174847514737194,1.651326218428939
-11.68903222674668,-0.7076270193788866,1.6435381125722248
-11.447024333926063,-0.694740669337776,1.643470874667599
-11.205016441105446,-0.6818543192966655,1.6434036367629732
-10.985543879407151,-0.6628125381229826,1.6338057696103572
-10.742237484629012,-0.6503266080537058,1.6261745609510383
-10.498931089850874,-0.6378406779844289,1.6185433522917196
-10.255624695072735,-0.6253547479151521,1.6109121436324008
-10.012480412841256,-0.6043361091618332,1.5993206396170692
-9.769336130609776,-0.5833174704085143,1.5877291356017373
-9.526191848378296,-0.5622988316551955,1.5761376315864057
-9.287388378313217,-0.5426962908846846,1.5710218052548401
-9.05849783764262,-0.5470244547452757,1.5571572657391943
-8.814305835095197,-0.5337944894686202,1.549351114593422
-8.580141344180102,-0.5112742514863619,1.5373492772511108
-8.34597685326501,-0.48875401350410347,1.5253474399087998
-8.120612464528703,-0.49515857210415254,1.5198261766387973
-7.883259247513683,-0.477911333658973,1.5021308436077645
-7.645906030498664,-0.46066409521379337,1.4844355105767317
-7.401432467006287,-0.4447964126448626,1.4822823471605717
-7.168324910869838,-0.42404958678383764,1.4669519929721553
-6.935217354733391,-0.40330276092281275,1.4516216387837388
-6.704443450500711,-0.3900147863414249,1.4338410035678013
-6.473669546268032,-0.37672681176003703,1.4160603683518636
-6.242895642035352,-0.3634388371786492,1.398279733135926
-6.012121737802672,-0.3501508625972614,1.3804990979199885
-5.781347833569992,-0.3368628880158736,1.3627184627040507
-5.550573929337314,-0.32357491343448574,1.3449378274881134
-5.319800025104634,-0.3102869388530979,1.3271571922721757
-5.089026120871953,-0.2969989642717101,1.3093765570562381
-4.858252216639274,-0.2837109896903222,1.2915959218403004
-4.627478312406595,-0.2704230151089344,1.2738152866243628
-4.396704408173915,-0.25713504052754654,1.256034651408425
-4.165930503941235,-0.24384706594615874,1.2382540161924878
-3.9351565997085554,-0.23055909136477087,1.22047338097655
-3.704382695475876,-0.21727111678338307,1.2026927457606122
