x,y,z
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-4.987757755797517,-9.751106692925191,0.643463374616605
-4.944487071943787,-9.607489723589733,0.6421392078421311
-4.901216388090056,-9.463872754254274,0.6408150410676572
-4.857945704236325,-9.320255784918814,0.6394908742931833
-4.8146750203825945,-9.176638815583356,0.6381667075187094
-4.787928443690716,-9.03724061167127,0.6418983377614867
-6.027845635275417,-7.213830978638589,0.85923241978923
-7.267762826860118,-5.390421345605906,1.0765665018169732
-8.50768001844482,-3.5670117125732235,1.2939005838447164
-9.747597210029522,-1.7436020795405411,1.5112346658724598
-10.987514401614222,0.07980755349214146,1.728568747900203
-10.730480566982129,0.056310535692377164,1.726295000927142
-10.466016981564813,0.06579211771595836,1.7033934040492569
-10.20135705877042,0.05954601635936524,1.6896369321907854
-9.936697135976026,0.053299915002772105,1.6758804603323134
-9.672037213181632,0.047053813646178985,1.662123988473842
-9.40737729038724,0.040807712289585865,1.6483675166153704
-9.142717367592846,0.03456161093299274,1.6346110447568987
-8.878057444798452,0.02831550957639961,1.620854572898427
-8.613397522004059,0.022069408219806488,1.6070981010399552
-8.348737599209667,0.015823306863213364,1.5933416291814835
-8.084077676415273,0.00957720550662024,1.5795851573230122
-7.819417753620879,0.0033311041500271137,1.5658286854645405
-7.554757830826485,-0.00291499720656601,1.5520722136060687
-7.290097908032092,-0.009161098563159133,1.538315741747597
-7.025437985237698,-0.015407199919752255,1.5245592698891253
-6.760778062443305,-0.021653301276345384,1.5108027980306538
-6.496118139648911,-0.027899402632938507,1.4970463261721823
-6.231458216854518,-0.03414550398953164,1.4832898543137103
-5.9667982940601245,-0.04039160534612476,1.4695333824552388
-5.874102400491021,-0.004121290842544263,1.4247802304265025
-5.781406506921918,0.03214902366103624,1.3800270783977664
-5.688710613352815,0.06841933816461673,1.33527392636903
-5.596014719783712,0.10468965266819723,1.290520774340294
-5.503318826214608,0.14095996717177775,1.2457676223115577
-5.410622932645506,0.1772302816753582,1.2010144702828214
-5.317927039076402,0.21350059617893874,1.1562613182540853
-5.2252311455072995,0.24977091068251922,1.1115081662253492
-5.132535251938197,0.2860412251860997,1.0667550141966131
-5.039839358369093,0.32231153968968024,1.0220018621678766
-4.947143464799991,0.35858185419326066,0.9772487101391406
-4.854447571230888,0.3948521686968412,0.9324955581104044
-4.761751677661784,0.4311224832004217,0.8877424060816682
-4.669055784092681,0.4673927977040022,0.842989254052932
-4.5763598905235785,0.5036631122075826,0.7982361020241958
-4.4836639969544745,0.5399334267111632,0.7534829499954595
